episode_id,show_type,campaign,arc,episode_number,title,airdate,vod_url,wiki_url,runtime,watched,notes,has_cooldown,cooldown_date
Main Campaign|Campaign Two: The Mighty Nein|37|Dangerous Liaisons,Main Campaign,Campaign Two: The Mighty Nein,Adventure on the High Seas,37,Dangerous Liaisons,2018-10-04,https://www.youtube.com/watch?v=B2IYaW9lUM4,https://criticalrole.fandom.com/wiki/Dangerous_Liaisons,3:18:29,False,,False,
Webseries|All Work No Play|2|Tap Dancing,Webseries,All Work No Play,,2,Tap Dancing,2018-10-05,https://critrole.com/qtvideo/all-work-no-play-tap-dancing-s1-ep2/,https://criticalrole.fandom.com/wiki/All_Work_No_Play,,False,,False,
Talk Show|Talks Machina|85|Dangerous Liaisons,Talk Show,Talks Machina,,85,Dangerous Liaisons,2018-10-09,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/0emH3vqdkNM,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_85,,False,Hosted by Brian Wayne Foster,False,
Webseries|Handbooker Helper|7|Combat Actions,Webseries,Handbooker Helper,,7,Combat Actions,2018-10-10,https://youtu.be/ej-fYQe7VqQ,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
Main Campaign|Campaign Two: The Mighty Nein|38|Welcome to the Jungle,Main Campaign,Campaign Two: The Mighty Nein,Adventure on the High Seas,38,Welcome to the Jungle,2018-10-11,https://www.youtube.com/watch?v=GOsCZ8kQom0,https://criticalrole.fandom.com/wiki/Welcome_to_the_Jungle,3:25:49,False,,False,
Webseries|All Work No Play|3|Rage Room,Webseries,All Work No Play,,3,Rage Room,2018-10-12,https://critrole.com/qtvideo/all-work-no-play-rage-room-s1-ep3/,https://criticalrole.fandom.com/wiki/All_Work_No_Play,,False,,False,
Webseries|Between the Sheets|3|Laura Bailey,Webseries,Between the Sheets,,3,Laura Bailey,2018-10-15,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/kjuSZYsuP-I,https://criticalrole.fandom.com/wiki/Between_the_Sheets,,False,Hosted by Brian Wayne Foster,False,
Talk Show|Talks Machina|86|Welcome to the Jungle,Talk Show,Talks Machina,,86,Welcome to the Jungle,2018-10-16,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/AGSPubnZXz4,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_86,,False,Hosted by Brian Wayne Foster,False,
Webseries|Handbooker Helper|8|Spellcasting Basics,Webseries,Handbooker Helper,,8,Spellcasting Basics,2018-10-17,https://youtu.be/i9ZnlZ7VudM,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
Main Campaign|Campaign Two: The Mighty Nein|39|Temple of the False Serpent,Main Campaign,Campaign Two: The Mighty Nein,Adventure on the High Seas,39,Temple of the False Serpent,2018-10-18,https://www.youtube.com/watch?v=M6XpCPfDP8M,https://criticalrole.fandom.com/wiki/Temple_of_the_False_Serpent,4:21:51,False,,False,
Webseries|EverythingIsContent|2|Critical Vote with NerdsVote,Webseries,EverythingIsContent,,2,Critical Vote with NerdsVote,2018-10-18,https://youtu.be/fuYUPHs_FV0,https://criticalrole.fandom.com/wiki/EverythingIsContent,,False,,False,
Webseries|All Work No Play|4|Goat Yoga,Webseries,All Work No Play,,4,Goat Yoga,2018-10-19,https://critrole.com/qtvideo/all-work-no-play-goat-yoga-s1-ep4/,https://criticalrole.fandom.com/wiki/All_Work_No_Play,,False,,False,
Talk Show|Talks Machina|87|Temple of the False Serpent,Talk Show,Talks Machina,,87,Temple of the False Serpent,2018-10-23,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/0UH8CWOfFOA,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_87,,False,Hosted by Brian Wayne Foster,False,
Webseries|Handbooker Helper|9|Advantage & Disadvantage,Webseries,Handbooker Helper,,9,Advantage & Disadvantage,2018-10-24,https://youtu.be/HTB-g1gkmKU,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
Special|Specials|C2E39b|Critical Role and the Club of Misfits,Special,Specials,,C2E39b,Critical Role and the Club of Misfits,2018-10-25,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/PRmVQKOy9Bo,https://criticalrole.fandom.com/wiki/Critical_Role_and_the_Club_of_Misfits,2:47:48,False,,False,
